application_id,applicant_type,timestamp,device_age_months,sim_age_months,completion_time_seconds,application_hour,applications_last_24h,copy_paste_count,gps_matches_address,device_value,device_value_ksh,line_type,has_kra_pin,has_nssf,iprs_verified,has_crb_record,crb_score,loan_amount,loan_term_days,monthly_income,employment_type,location,should_approve,will_default
APP_000014,good_repeat,2025-11-16 10:49:02,2.3,16.4,855,16,1,0,1,low,5000,postpaid,1,1,1,0,300,5000,30,9278.74,unemployed,Mombasa,1,0
APP_000015,good_repeat,2025-12-14 10:49:02,6.7,17.6,897,10,1,2,1,low,5000,prepaid,0,1,1,0,300,15000,30,23008.54,formal,Rural,1,0
APP_000016,fraudster,2026-01-18 10:49:02,2.6,0.3,116,3,4,7,1,low,5000,prepaid,0,0,1,0,300,1000,60,57061.78,self_employed,Nairobi,0,1
APP_000017,risky,2025-12-31 10:49:02,62.9,35.8,488,16,1,1,1,medium,20000,postpaid,0,1,1,0,300,10000,7,52258.06,formal,Nakuru,1,0
APP_000018,risky,2026-01-31 10:49:02,1.7,5.2,827,14,1,1,1,high,60000,postpaid,1,1,1,1,488,10000,30,76335.8,formal,Kisumu,0,0
APP_000019,risky,2026-01-02 10:49:02,8.9,7.6,393,13,1,1,1,low,5000,postpaid,1,1,1,0,300,20000,7,58057.07,formal,Eldoret,1,0
APP_000020,risky,2026-01-05 10:49:02,31.8,10.6,682,15,1,1,1,high,60000,postpaid,0,0,1,1,323,10000,7,41212.93,self_employed,Mombasa,0,0
APP_000021,legitimate,2026-01-22 10:49:02,2.7,38.9,859,11,1,0,1,high,60000,prepaid,0,1,1,0,300,10000,14,35938.17,informal,Kisumu,0,1
APP_000022,risky,2025-12-17 10:49:02,0.1,40.6,314,15,1,2,1,high,60000,postpaid,1,1,1,1,603,1000,60,71515.6,formal,Kisumu,0,1
APP_000023,legitimate,2026-01-02 10:49:02,26.6,1.8,792,16,1,0,0,medium,20000,prepaid,0,1,1,0,300,15000,90,15192.77,unemployed,Mombasa,0,0
APP_000024,good_repeat,2025-12-02 10:49:02,8.0,3.0,369,14,1,1,1,low,5000,postpaid,0,0,1,0,300,10000,90,43111.73,formal,Mombasa,1,0
APP_000025,legitimate,2026-01-03 10:49:02,7.2,1.6,326,16,1,1,1,medium,20000,prepaid,1,1,1,0,300,15000,7,37820.51,self_employed,Nairobi,0,0
APP_000026,legitimate,2025-12-01 10:49:02,6.7,9.4,477,16,1,0,1,high,60000,postpaid,1,0,1,0,300,20000,7,27911.12,self_employed,Mombasa,0,0
APP_000027,fraudster,2025-11-25 10:49:02,1.0,0.9,90,0,10,7,0,low,5000,postpaid,0,0,1,0,300,2000,60,47324.97,formal,Rural,0,1
APP_000028,fraudster,2025-12-16 10:49:02,2.2,0.8,65,6,5,15,0,medium,20000,prepaid,0,0,1,0,300,10000,14,47387.71,formal,Rural,0,1
APP_000029,risky,2026-01-09 10:49:02,25.7,19.8,892,18,1,2,1,high,60000,postpaid,1,1,1,1,496,5000,14,11751.05,unemployed,Kisumu,1,1
APP_000030,risky,2025-12-22 10:49:02,13.3,13.4,612,18,1,2,1,high,60000,prepaid,0,0,1,0,300,2000,14,21491.06,informal,Mombasa,0,0
APP_000031,legitimate,2026-01-06 10:49:02,0.5,2.7,625,14,1,1,1,medium,20000,postpaid,1,1,1,1,470,20000,90,12154.7,unemployed,Nairobi,1,1
APP_000032,risky,2025-12-07 10:49:02,6.8,17.1,812,13,1,1,1,medium,20000,prepaid,0,0,0,0,300,15000,60,35215.17,informal,Eldoret,1,1
APP_000033,legitimate,2025-12-22 10:49:02,9.5,33.8,536,15,1,2,0,low,5000,postpaid,1,0,1,0,300,5000,30,49255.34,self_employed,Rural,1,0
APP_000034,legitimate,2025-12-15 10:49:02,4.7,1.9,349,11,1,0,1,low,5000,postpaid,1,1,1,1,449,2000,14,57280.14,formal,Rural,1,0
APP_000035,risky,2025-12-27 10:49:02,47.8,39.6,638,16,1,0,1,low,5000,postpaid,1,1,1,1,532,2000,30,54721.08,formal,Nakuru,1,0
APP_000036,legitimate,2025-12-28 10:49:02,29.3,5.0,729,14,1,0,1,low,5000,prepaid,1,0,1,1,596,20000,90,40832.23,formal,Eldoret,1,0
APP_000037,legitimate,2025-12-14 10:49:02,29.7,54.3,688,11,1,0,1,medium,20000,prepaid,1,1,1,1,467,5000,14,42716.06,self_employed,Nakuru,1,0
APP_000038,legitimate,2026-01-21 10:49:02,4.7,13.4,795,14,1,2,1,low,5000,prepaid,0,0,1,0,300,15000,60,16291.5,self_employed,Kisumu,0,0
APP_000039,legitimate,2025-12-13 10:49:02,0.1,17.2,512,14,1,1,1,high,60000,postpaid,0,1,1,1,358,5000,90,30718.28,informal,Kisumu,1,0
APP_000040,legitimate,2026-01-05 10:49:02,2.3,9.9,310,12,1,1,1,medium,20000,prepaid,1,0,1,0,300,15000,90,30831.47,self_employed,Mombasa,0,0
APP_000041,legitimate,2026-01-07 10:49:02,51.5,9.4,372,19,1,0,1,low,5000,prepaid,0,0,1,1,517,10000,90,59122.98,self_employed,Kisumu,1,0
APP_000042,legitimate,2025-12-15 10:49:02,8.1,85.6,407,8,1,0,1,low,5000,postpaid,1,1,1,0,300,20000,60,72363.18,formal,Rural,1,0
APP_000043,legitimate,2026-02-03 10:49:02,6.0,0.9,504,13,1,0,1,low,5000,postpaid,1,0,1,0,300,1000,14,34334.26,informal,Kisumu,0,1
APP_000044,good_repeat,2026-02-01 10:49:02,16.9,16.8,371,13,1,1,1,high,60000,prepaid,0,1,1,0,300,5000,30,56577.85,formal,Eldoret,1,0
APP_000045,good_repeat,2026-01-08 10:49:02,2.8,16.1,424,14,1,0,1,low,5000,prepaid,0,0,0,0,300,10000,60,16468.79,self_employed,Kisumu,1,0
APP_000046,risky,2026-01-05 10:49:02,76.4,6.7,721,17,1,1,1,high,60000,postpaid,1,1,1,0,300,2000,14,52198.4,self_employed,Nairobi,0,0
APP_000047,fraudster,2026-01-15 10:49:02,2.5,1.8,69,4,10,9,0,high,60000,postpaid,0,0,0,0,300,3000,90,16163.92,self_employed,Rural,0,1
APP_000048,good_repeat,2025-12-13 10:49:02,8.3,24.0,801,16,1,2,1,high,60000,postpaid,0,1,1,1,558,3000,14,14521.77,unemployed,Eldoret,1,0
APP_000049,good_repeat,2026-01-04 10:49:02,1.7,43.3,582,20,1,1,1,low,5000,prepaid,0,1,1,1,400,20000,90,47289.55,formal,Kisumu,1,0
APP_000050,legitimate,2025-12-05 10:49:02,0.7,21.5,369,12,1,1,1,high,60000,prepaid,1,0,1,0,300,10000,60,16399.86,unemployed,Eldoret,0,0
APP_000051,legitimate,2026-01-25 10:49:02,20.4,0.4,472,9,1,2,1,high,60000,prepaid,0,1,1,0,300,20000,7,19205.91,unemployed,Nakuru,0,0
APP_000052,legitimate,2025-12-22 10:49:02,18.7,4.6,729,14,1,2,1,medium,20000,postpaid,0,1,1,1,408,10000,14,36574.84,formal,Rural,1,0
APP_000053,legitimate,2025-12-17 10:49:02,49.7,3.6,772,18,1,1,1,high,60000,postpaid,1,1,1,0,300,5000,30,39836.28,self_employed,Nairobi,0,0
APP_000054,good_repeat,2026-01-28 10:49:02,7.5,2.9,821,16,1,2,1,medium,20000,prepaid,0,1,1,1,376,5000,14,19472.37,unemployed,Mombasa,1,0
APP_000055,fraudster,2026-01-02 10:49:02,1.8,1.7,108,5,10,6,1,low,5000,prepaid,0,0,1,0,300,3000,30,14747.55,unemployed,Eldoret,0,1
APP_000056,risky,2026-02-01 10:49:02,13.6,6.6,815,14,1,1,1,high,60000,postpaid,0,0,1,1,578,2000,7,19675.07,unemployed,Kisumu,1,1
APP_000057,legitimate,2025-12-27 10:49:02,7.5,10.3,716,15,1,0,1,medium,20000,prepaid,0,0,1,0,300,15000,14,15252.08,informal,Nairobi,0,0
APP_000058,fraudster,2025-12-21 10:49:02,0.7,1.8,42,6,10,15,0,medium,20000,prepaid,0,0,1,0,300,3000,90,43752.24,self_employed,Kisumu,0,1
APP_000059,risky,2026-02-07 10:49:02,18.5,2.1,574,14,1,1,1,low,5000,postpaid,0,1,1,1,529,3000,7,9117.21,unemployed,Mombasa,1,0
APP_000060,good_repeat,2025-11-23 10:49:02,0.1,4.2,747,11,1,1,1,low,5000,postpaid,1,1,1,1,686,15000,14,74204.22,formal,Mombasa,1,0
APP_000061,legitimate,2026-01-23 10:49:02,19.0,6.1,773,15,1,0,1,low,5000,prepaid,1,0,1,0,300,20000,90,38888.36,self_employed,Eldoret,0,1
APP_000062,legitimate,2026-01-11 10:49:02,22.4,6.5,794,17,1,1,1,low,5000,postpaid,1,0,1,0,300,15000,60,19063.63,self_employed,Kisumu,0,0
APP_000063,fraudster,2026-01-06 10:49:02,1.4,1.3,90,3,9,15,0,low,5000,prepaid,0,0,1,0,300,15000,7,18640.81,unemployed,Kisumu,0,1
APP_000064,fraudster,2025-12-13 10:49:02,0.4,0.1,33,3,10,6,0,medium,20000,prepaid,0,0,1,0,300,10000,14,14823.83,unemployed,Nairobi,0,1
APP_000065,fraudster,2025-12-17 10:49:02,2.8,0.6,92,0,6,12,1,high,60000,postpaid,0,0,1,0,300,3000,14,76940.65,formal,Nakuru,0,1
APP_000066,legitimate,2026-01-15 10:49:02,5.5,6.7,427,11,1,2,1,medium,20000,prepaid,0,0,1,0,300,20000,90,27591.49,informal,Eldoret,0,0
APP_000067,legitimate,2026-01-03 10:49:02,65.0,12.0,388,14,1,2,1,low,5000,prepaid,1,1,1,1,582,2000,7,50549.31,self_employed,Nairobi,1,0
APP_000068,legitimate,2025-11-21 10:49:02,28.5,16.8,459,13,1,0,1,high,60000,prepaid,0,0,1,0,300,5000,90,38362.47,informal,Rural,0,0
APP_000069,fraudster,2025-11-29 10:49:02,1.4,1.9,35,5,10,11,1,medium,20000,postpaid,0,0,1,0,300,3000,90,32140.7,self_employed,Nakuru,0,1
APP_000070,fraudster,2025-11-20 10:49:02,1.4,1.2,38,3,4,15,1,medium,20000,prepaid,0,0,1,0,300,15000,7,34204.38,self_employed,Rural,0,1
APP_000071,legitimate,2025-11-20 10:49:02,18.7,4.7,872,22,1,2,1,low,5000,prepaid,1,1,1,0,300,1000,90,45150.6,self_employed,Nakuru,0,0
APP_000072,good_repeat,2025-12-28 10:49:02,50.8,73.9,553,13,1,2,1,medium,20000,postpaid,0,1,1,0,300,20000,7,53041.8,self_employed,Nairobi,1,0
APP_000073,legitimate,2026-01-26 10:49:02,0.3,63.3,467,16,1,0,1,high,60000,prepaid,1,1,1,0,300,15000,30,30796.05,self_employed,Nakuru,0,0
APP_000074,fraudster,2026-01-25 10:49:02,1.2,0.3,86,3,3,6,1,medium,20000,postpaid,0,0,1,0,415,10000,90,73000.53,formal,Rural,0,1
APP_000075,legitimate,2025-12-13 10:49:02,34.3,9.1,670,9,1,2,1,medium,20000,postpaid,1,0,1,0,300,3000,60,36994.79,formal,Nairobi,0,0
APP_000076,fraudster,2026-01-15 10:49:02,0.9,0.4,118,6,3,5,0,low,5000,prepaid,0,0,1,0,300,5000,14,21406.22,informal,Mombasa,0,1
APP_000077,fraudster,2026-01-23 10:49:02,2.5,1.6,36,6,3,11,0,medium,20000,prepaid,0,0,1,0,300,1000,60,77971.98,formal,Nairobi,0,1
APP_000078,risky,2026-01-30 10:49:02,15.2,2.5,670,14,1,2,1,low,5000,prepaid,1,0,1,1,385,15000,30,19992.06,informal,Kisumu,0,0
APP_000079,fraudster,2025-12-01 10:49:02,0.6,1.6,61,1,5,8,0,high,60000,prepaid,0,0,1,0,608,15000,60,16316.69,unemployed,Nairobi,0,1
APP_000080,legitimate,2025-12-16 10:49:02,8.0,8.3,854,17,1,2,1,high,60000,postpaid,0,0,1,0,300,20000,30,41116.53,formal,Rural,0,0
APP_000081,legitimate,2026-01-20 10:49:02,29.8,39.9,334,15,1,1,1,high,60000,prepaid,1,0,1,1,700,15000,7,18635.75,unemployed,Nairobi,1,0
APP_000082,legitimate,2025-12-26 10:49:02,28.8,25.2,585,16,1,0,1,high,60000,postpaid,0,1,0,1,565,5000,90,20916.94,informal,Nairobi,1,0
APP_000083,legitimate,2026-01-26 10:49:02,39.7,9.9,503,11,1,2,1,low,5000,postpaid,0,1,1,0,300,20000,90,20000.86,informal,Nairobi,0,0
APP_000084,good_repeat,2025-12-21 10:49:02,15.5,0.9,486,13,1,2,1,high,60000,prepaid,1,0,1,0,300,3000,14,58761.49,formal,Rural,1,0
APP_000085,fraudster,2025-11-26 10:49:02,0.1,0.6,115,1,8,12,0,low,5000,prepaid,0,0,1,0,300,15000,90,59715.75,formal,Mombasa,0,1
APP_000086,legitimate,2026-01-15 10:49:02,6.1,21.4,526,12,1,0,1,high,60000,prepaid,1,0,1,0,300,5000,90,48857.6,self_employed,Mombasa,0,0
APP_000087,fraudster,2026-02-07 10:49:02,0.9,1.6,72,3,6,10,1,medium,20000,postpaid,0,0,1,0,300,2000,90,36190.06,informal,Rural,0,1
APP_000088,fraudster,2025-12-25 10:49:02,2.6,1.1,39,3,4,9,1,high,60000,postpaid,0,0,1,0,300,5000,30,44893.81,formal,Nairobi,0,1
APP_000089,fraudster,2026-02-03 10:49:02,0.7,2.0,63,6,3,10,1,low,5000,postpaid,0,0,1,0,608,2000,60,14230.22,unemployed,Nairobi,0,1
APP_000090,legitimate,2025-12-12 10:49:02,1.0,18.2,429,20,1,0,1,low,5000,postpaid,1,0,1,0,300,15000,90,5942.11,unemployed,Eldoret,0,0
APP_000091,fraudster,2025-12-15 10:49:02,0.0,1.0,51,1,5,9,0,high,60000,postpaid,0,0,1,0,563,1000,90,43427.22,formal,Nakuru,0,1
APP_000092,legitimate,2025-11-23 10:49:02,13.1,9.4,532,12,1,1,1,low,5000,postpaid,0,1,1,1,585,15000,30,11330.07,informal,Kisumu,1,0
APP_000093,legitimate,2025-12-25 10:49:02,10.4,2.0,767,15,1,1,1,low,5000,prepaid,0,1,1,0,300,1000,14,38935.75,formal,Rural,0,0
APP_000094,good_repeat,2025-12-19 10:49:02,9.5,4.6,625,16,1,1,1,medium,20000,prepaid,0,1,1,0,300,1000,30,18342.3,unemployed,Nairobi,1,0
APP_000095,risky,2026-01-05 10:49:02,3.1,6.9,531,19,1,0,1,high,60000,postpaid,0,0,1,0,300,20000,14,29454.51,self_employed,Nakuru,0,0
APP_000096,legitimate,2025-12-10 10:49:02,19.4,7.9,730,15,1,0,1,low,5000,postpaid,1,1,1,0,300,15000,7,60271.03,formal,Rural,0,0
APP_000097,risky,2026-02-04 10:49:02,55.8,32.1,707,20,1,0,1,low,5000,postpaid,0,0,1,0,300,10000,7,30371.86,informal,Mombasa,1,0
APP_000098,fraudster,2025-12-13 10:49:02,1.6,0.8,88,4,6,6,1,medium,20000,postpaid,0,0,1,0,603,2000,90,46229.13,self_employed,Nairobi,0,1
APP_000099,legitimate,2025-11-16 10:49:02,7.9,34.0,381,15,1,0,1,low,5000,postpaid,1,1,1,1,577,15000,7,55109.93,self_employed,Nakuru,1,0
APP_000100,fraudster,2025-12-14 10:49:02,2.4,1.0,40,2,6,7,1,high,60000,prepaid,0,0,1,0,300,1000,7,32917.2,self_employed,Mombasa,0,1
APP_000101,fraudster,2026-01-06 10:49:02,2.3,1.6,36,1,8,15,0,high,60000,postpaid,0,0,1,0,300,20000,7,51086.13,formal,Nairobi,0,1
APP_000102,legitimate,2025-12-01 10:49:02,3.4,13.7,493,18,1,2,1,low,5000,postpaid,0,1,1,0,300,3000,90,50154.39,formal,Mombasa,0,0
APP_000103,legitimate,2025-11-25 10:49:02,18.1,1.1,695,9,1,2,1,low,5000,prepaid,0,1,1,0,300,2000,90,14271.63,unemployed,Eldoret,0,0
APP_000104,fraudster,2026-01-28 10:49:02,1.9,0.6,52,1,9,9,0,medium,20000,prepaid,0,0,1,0,300,20000,30,58891.84,self_employed,Nakuru,0,1
APP_000105,risky,2026-01-03 10:49:02,12.6,46.6,608,11,1,0,1,medium,20000,prepaid,1,0,1,1,546,20000,90,8724.05,unemployed,Kisumu,1,0
APP_000106,good_repeat,2026-02-07 10:49:02,1.3,24.7,732,14,1,0,1,medium,20000,postpaid,1,0,1,0,300,5000,14,27500.32,informal,Mombasa,1,0
APP_000107,legitimate,2025-12-29 10:49:02,50.7,20.6,596,12,1,2,1,low,5000,prepaid,1,1,1,1,658,3000,7,5767.37,unemployed,Rural,1,0
APP_000108,fraudster,2026-02-08 10:49:02,0.2,1.0,98,0,7,14,1,medium,20000,prepaid,0,0,1,0,300,2000,14,12501.17,unemployed,Rural,0,1
APP_000109,legitimate,2025-12-13 10:49:02,51.1,11.7,728,10,1,1,1,medium,20000,prepaid,1,0,1,0,300,20000,30,37829.17,self_employed,Eldoret,0,0
APP_000110,risky,2025-12-01 10:49:02,58.5,56.6,479,14,1,0,1,medium,20000,prepaid,1,1,1,1,437,1000,90,8982.96,unemployed,Kisumu,1,1
APP_000111,fraudster,2026-02-06 10:49:02,2.2,1.2,45,1,9,7,0,low,5000,prepaid,0,0,1,0,300,10000,90,18092.27,unemployed,Rural,0,1
APP_000112,risky,2025-12-04 10:49:02,33.5,0.6,611,12,1,2,1,high,60000,postpaid,0,1,1,0,300,10000,30,42453.45,self_employed,Kisumu,0,0
APP_000113,legitimate,2025-12-31 10:49:02,2.3,28.6,864,16,1,1,1,medium,20000,postpaid,1,1,1,1,589,3000,7,18436.41,unemployed,Kisumu,1,0
APP_000114,good_repeat,2025-11-16 10:49:02,23.9,39.0,782,14,1,1,1,medium,20000,prepaid,1,1,1,0,300,20000,90,56986.08,self_employed,Nairobi,1,0
APP_000115,legitimate,2025-12-05 10:49:02,6.0,4.7,365,16,1,2,1,high,60000,prepaid,1,0,1,0,300,3000,60,60871.52,formal,Eldoret,0,0
APP_000116,good_repeat,2026-01-22 10:49:02,83.8,12.8,394,15,1,2,1,medium,20000,prepaid,0,1,1,0,300,10000,14,74793.78,formal,Nakuru,1,0
APP_000117,legitimate,2025-12-17 10:49:02,8.4,36.0,802,15,1,0,1,high,60000,prepaid,1,1,1,0,300,10000,90,75707.29,formal,Nakuru,0,0
APP_000118,good_repeat,2026-01-07 10:49:02,35.2,13.4,625,13,1,1,1,medium,20000,postpaid,0,0,1,0,300,3000,14,64197.07,formal,Mombasa,1,0
APP_000119,fraudster,2026-01-10 10:49:02,2.3,0.4,107,5,9,11,0,low,5000,postpaid,0,0,1,0,300,3000,60,23402.07,informal,Eldoret,0,1
APP_000120,good_repeat,2025-11-24 10:49:02,2.0,55.9,481,17,1,2,0,high,60000,postpaid,0,1,1,0,300,15000,90,46063.07,self_employed,Eldoret,1,0
APP_000121,good_repeat,2025-11-18 10:49:02,6.9,54.2,477,14,1,2,1,medium,20000,prepaid,0,1,1,0,300,10000,60,32855.79,informal,Mombasa,1,0
APP_000122,risky,2025-11-18 10:49:02,8.9,0.3,823,14,1,0,1,low,5000,postpaid,1,0,1,1,486,2000,90,14936.11,informal,Eldoret,1,0
APP_000123,legitimate,2026-01-17 10:49:02,54.1,20.4,649,11,1,0,1,medium,20000,prepaid,0,0,1,0,300,15000,30,43756.92,formal,Eldoret,0,0
APP_000124,fraudster,2025-11-18 10:49:02,0.1,0.7,35,1,3,6,0,low,5000,postpaid,0,0,1,0,300,5000,60,10634.68,unemployed,Nakuru,0,1
APP_000125,good_repeat,2025-12-16 10:49:02,20.1,33.5,824,20,1,0,1,low,5000,prepaid,1,0,1,1,562,20000,7,78709.44,formal,Rural,1,0
APP_000126,risky,2026-01-14 10:49:02,1.7,16.4,626,15,1,2,1,medium,20000,prepaid,0,0,1,1,507,1000,7,14223.85,unemployed,Nakuru,1,1
APP_000127,legitimate,2025-12-02 10:49:02,10.5,52.5,360,11,1,0,1,low,5000,prepaid,1,0,1,0,300,20000,7,25116.88,informal,Nakuru,0,0
APP_000128,legitimate,2025-12-31 10:49:02,7.8,3.0,658,15,1,2,1,high,60000,prepaid,1,0,1,0,300,10000,14,13337.76,unemployed,Kisumu,0,0
APP_000129,good_repeat,2026-02-06 10:49:02,17.3,2.6,702,12,1,2,1,low,5000,postpaid,0,0,1,0,300,2000,30,34173.28,informal,Kisumu,1,0
APP_000130,fraudster,2026-01-20 10:49:02,2.9,1.1,42,3,6,9,0,medium,20000,prepaid,0,0,1,0,300,15000,90,72417.23,formal,Mombasa,0,1
APP_000131,risky,2025-12-25 10:49:02,1.4,41.4,652,12,1,2,1,medium,20000,prepaid,0,1,1,0,300,15000,7,18716.62,unemployed,Eldoret,1,1
APP_000132,good_repeat,2025-12-28 10:49:02,1.6,103.6,631,14,1,1,1,medium,20000,postpaid,0,1,1,0,300,15000,60,56144.87,self_employed,Nakuru,1,0
APP_000133,legitimate,2025-12-05 10:49:02,8.4,11.1,327,11,1,0,1,high,60000,postpaid,1,1,1,0,300,3000,14,13546.84,unemployed,Rural,0,0
APP_000134,risky,2025-11-20 10:49:02,27.0,19.6,710,13,1,1,1,medium,20000,postpaid,0,1,1,1,585,5000,14,51436.66,formal,Nakuru,1,0
APP_000135,legitimate,2025-12-23 10:49:02,2.1,16.3,303,13,1,0,1,low,5000,prepaid,0,0,1,0,300,10000,60,5235.98,unemployed,Rural,0,0
APP_000136,legitimate,2026-01-12 10:49:02,0.2,15.2,617,14,1,1,1,high,60000,prepaid,1,1,1,1,417,1000,7,17229.06,informal,Eldoret,1,0
APP_000137,risky,2026-02-06 10:49:02,24.7,21.0,460,13,1,1,1,medium,20000,postpaid,1,1,1,1,540,20000,7,25610.03,formal,Nairobi,0,0
APP_000138,fraudster,2026-01-04 10:49:02,2.1,0.2,106,1,8,14,1,low,5000,prepaid,0,0,1,0,300,1000,30,30761.27,formal,Nairobi,0,1
APP_000139,legitimate,2025-11-17 10:49:02,4.6,79.3,424,14,1,0,1,medium,20000,prepaid,0,0,1,0,300,10000,30,16334.14,unemployed,Rural,0,0
APP_000140,risky,2026-01-15 10:49:02,1.4,19.4,600,14,1,1,1,low,5000,prepaid,0,1,1,0,300,20000,30,58047.38,formal,Nairobi,1,0
APP_000141,legitimate,2025-12-26 10:49:02,62.7,17.8,864,18,1,1,1,low,5000,postpaid,1,0,1,0,300,3000,14,15675.16,unemployed,Mombasa,0,0
APP_000142,legitimate,2025-11-29 10:49:02,10.9,23.7,363,16,1,0,1,low,5000,postpaid,0,0,1,0,300,5000,7,25377.13,formal,Kisumu,0,0
APP_000143,fraudster,2026-01-09 10:49:02,1.0,0.8,56,4,9,6,1,high,60000,prepaid,0,0,1,0,300,5000,14,30032.44,formal,Rural,0,1
APP_000144,legitimate,2026-01-02 10:49:02,0.8,7.9,590,20,1,0,1,high,60000,prepaid,1,1,1,0,300,3000,7,9983.26,unemployed,Kisumu,0,0
APP_000145,legitimate,2026-01-03 10:49:02,5.8,5.0,558,11,1,2,1,high,60000,postpaid,1,0,1,1,300,3000,30,19516.45,unemployed,Eldoret,1,0
APP_000146,legitimate,2025-11-17 10:49:02,15.8,1.9,789,12,1,1,1,high,60000,prepaid,1,0,1,0,300,15000,60,23153.65,informal,Kisumu,0,0
APP_000147,legitimate,2025-11-17 10:49:02,66.0,102.8,808,15,1,1,1,low,5000,postpaid,0,0,1,0,300,5000,90,13733.66,unemployed,Rural,1,0
APP_000148,legitimate,2025-12-20 10:49:02,6.7,40.3,322,19,1,1,1,low,5000,prepaid,1,1,1,0,300,1000,90,19502.17,unemployed,Rural,0,0
APP_000149,legitimate,2026-02-03 10:49:02,20.8,4.3,359,10,1,0,1,medium,20000,prepaid,0,0,1,1,683,2000,30,48966.27,formal,Eldoret,1,0
APP_000150,legitimate,2026-01-30 10:49:02,48.6,48.2,864,17,1,0,1,low,5000,postpaid,1,0,1,1,453,5000,30,38015.84,formal,Kisumu,1,0
APP_000151,legitimate,2025-12-25 10:49:02,78.6,3.9,505,8,1,0,1,high,60000,prepaid,0,0,1,1,635,2000,60,15591.61,informal,Rural,1,0
APP_000152,legitimate,2025-12-29 10:49:02,63.1,44.3,668,13,1,0,1,low,5000,postpaid,1,0,1,1,623,1000,90,67970.14,formal,Nakuru,1,0
APP_000153,legitimate,2026-01-06 10:49:02,9.6,7.7,574,14,1,1,1,high,60000,postpaid,0,0,1,0,300,5000,90,34412.15,informal,Rural,0,0
APP_000154,good_repeat,2025-12-13 10:49:02,26.4,69.5,654,14,1,2,1,medium,20000,prepaid,0,0,1,0,300,10000,14,11345.58,unemployed,Mombasa,1,0
APP_000155,fraudster,2025-12-13 10:49:02,2.1,1.3,119,6,5,12,0,medium,20000,postpaid,0,0,1,0,300,2000,60,11137.02,unemployed,Kisumu,0,1
APP_000156,legitimate,2026-01-30 10:49:02,10.8,3.3,803,14,1,1,1,low,5000,prepaid,0,0,1,0,300,5000,90,13245.89,unemployed,Mombasa,0,0
APP_000157,legitimate,2026-01-11 10:49:02,4.7,26.7,625,15,1,1,1,high,60000,prepaid,1,0,1,1,346,15000,14,54366.44,self_employed,Eldoret,1,0
APP_000158,legitimate,2026-01-18 10:49:02,2.2,26.7,790,17,1,1,1,low,5000,prepaid,1,1,1,1,655,15000,60,28484.54,informal,Nairobi,1,0
APP_000159,risky,2026-01-09 10:49:02,13.2,45.9,642,14,1,2,1,medium,20000,prepaid,1,0,1,1,700,10000,7,38883.16,informal,Kisumu,1,1
